Trial,Mass (g),Load Cell Reading
7,300,65871.00
7,300,65876.00
7,300,65880.00
7,300,65861.00
7,300,65871.00
7,300,65833.00
7,300,65827.00
7,300,65839.00
7,300,65809.00
7,300,65802.00
7,300,65852.00
7,300,65879.00
7,300,65882.00
7,300,65880.00
7,300,65864.00
7,300,65871.00
7,300,65886.00
7,300,65851.00
7,300,65855.00
7,300,65833.00
7,300,65807.00
7,300,65854.00
7,300,65857.00
7,300,65828.00
7,300,65845.00
7,300,65861.00
7,300,65858.00
7,300,65848.00
7,300,65844.00
7,300,65869.00
7,300,65855.00
7,300,65859.00
7,300,65872.00
7,300,65900.00
7,300,65926.00
7,300,65901.00
7,300,65858.00
7,300,65860.00
7,300,65885.00
7,300,65892.00
7,300,65861.00
7,300,65854.00
7,300,65836.00
7,300,65816.00
7,300,65840.00
7,300,65867.00
7,300,65842.00
7,300,65886.00
7,300,65894.00
7,300,65880.00
7,300,65877.00
7,300,65896.00
7,300,65876.00
7,300,65869.00
7,300,65882.00
7,300,65865.00
7,300,65861.00
7,300,65834.00
7,300,65846.00
7,300,65840.00
7,300,65858.00
7,300,65876.00
7,300,65851.00
7,300,65833.00
7,300,65824.00
7,300,65859.00
7,300,65902.00
7,300,65864.00
7,300,65875.00
7,300,65864.00
7,300,65846.00
7,300,65829.00
7,300,65850.00
7,300,65903.00
7,300,65892.00
7,300,65888.00
7,300,65853.00
7,300,65877.00
7,300,65857.00
7,300,65825.00
7,300,65852.00
7,300,65870.00
7,300,65834.00
7,300,65847.00
7,300,65885.00
7,300,65877.00
7,300,65842.00
7,300,65846.00
7,300,65872.00
7,300,65850.00
7,300,65832.00
7,300,65814.00
7,300,65827.00
7,300,65806.00
7,300,65810.00
7,300,65817.00
7,300,65857.00
8,350,76848.00
8,350,76885.00
8,350,76857.00
8,350,76825.00
8,350,76839.00
8,350,76846.00
8,350,76839.00
8,350,76867.00
8,350,76883.00
8,350,76848.00
8,350,76815.00
8,350,76819.00
8,350,76865.00
8,350,76893.00
8,350,76852.00
8,350,76872.00
8,350,76877.00
8,350,76867.00
8,350,76868.00
8,350,76881.00
8,350,76878.00
8,350,76887.00
8,350,76901.00
8,350,76870.00
8,350,76880.00
8,350,76857.00
8,350,76831.00
8,350,76866.00
8,350,76858.00
8,350,76853.00
8,350,76865.00
8,350,76861.00
8,350,76825.00
8,350,76845.00
8,350,76868.00
8,350,76864.00
8,350,76840.00
8,350,76844.00
8,350,76882.00
8,350,76873.00
8,350,76872.00
8,350,76888.00
8,350,76905.00
8,350,76878.00
8,350,76875.00
8,350,76898.00
8,350,76894.00
8,350,76876.00
8,350,76857.00
8,350,76885.00
8,350,76872.00
8,350,76858.00
8,350,76865.00
8,350,76869.00
8,350,76890.00
8,350,76852.00
8,350,76866.00
8,350,76874.00
8,350,76831.00
8,350,76799.00
8,350,76842.00
8,350,76892.00
8,350,76894.00
8,350,76875.00
8,350,76881.00
8,350,76877.00
8,350,76851.00
8,350,76849.00
8,350,76888.00
8,350,76862.00
8,350,76826.00
8,350,76868.00
8,350,76861.00
8,350,76873.00
8,350,76856.00
8,350,76846.00
8,350,76868.00
8,350,76825.00
8,350,76814.00
8,350,76850.00
8,350,76862.00
8,350,76877.00
8,350,76856.00
8,350,76863.00
8,350,76868.00
8,350,76867.00
8,350,76841.00
8,350,76825.00
8,350,76872.00
8,350,76874.00
8,350,76889.00
8,350,76907.00
8,350,76884.00
8,350,76824.00
8,350,76839.00
8,350,76896.00
8,350,76895.00
8,350,76860.00
8,350,76855.00
8,350,76905.00
8,350,76894.00
8,350,76844.00
8,350,76843.00
8,350,76881.00
8,350,76874.00
8,350,76911.00
8,350,76901.00
8,350,76862.00
8,350,76833.00
8,350,76829.00
8,350,76871.00
8,350,76868.00
8,350,76839.00
8,350,76834.00
9,400,87965.00
9,400,87987.00
9,400,87944.00
9,400,87957.00
9,400,87958.00
9,400,87973.00
9,400,87981.00
9,400,87952.00
9,400,87961.00
9,400,87976.00
9,400,88006.00
9,400,87985.00
9,400,87969.00
9,400,87957.00
9,400,87934.00
9,400,87946.00
9,400,87953.00
9,400,87979.00
9,400,87986.00
9,400,87960.00
9,400,87947.00
9,400,87995.00
9,400,88001.00
9,400,87972.00
9,400,88003.00
9,400,87992.00
9,400,87967.00
9,400,87927.00
9,400,87926.00
9,400,87967.00
9,400,88007.00
9,400,87963.00
9,400,87951.00
9,400,87954.00
9,400,87997.00
9,400,88028.00
9,400,87990.00
9,400,87955.00
9,400,87920.00
9,400,87943.00
9,400,87951.00
9,400,87960.00
9,400,87965.00
9,400,87940.00
9,400,87909.00
9,400,87958.00
9,400,87973.00
9,400,87974.00
9,400,87959.00
9,400,87934.00
9,400,87935.00
9,400,87978.00
9,400,87977.00
9,400,87929.00
9,400,87951.00
9,400,87955.00
9,400,87966.00
9,400,87968.00
9,400,87945.00
9,400,87956.00
9,400,88017.00
9,400,87969.00
9,400,87977.00
9,400,87961.00
9,400,87927.00
9,400,87930.00
9,400,87976.00
9,400,87994.00
9,400,87989.00
9,400,87969.00
9,400,87942.00
9,400,87941.00
9,400,87960.00
9,400,87940.00
9,400,87944.00
9,400,87927.00
9,400,87944.00
9,400,87957.00
9,400,87977.00
9,400,87971.00
9,400,87975.00
9,400,87963.00
9,400,87990.00
9,400,88012.00
9,400,87997.00
9,400,87959.00
9,400,87942.00
9,400,87953.00
9,400,87970.00
9,400,87973.00
9,400,87984.00
9,400,87951.00
9,400,87973.00
9,400,87998.00
9,400,87943.00
9,400,87958.00
9,400,87990.00
9,400,87977.00
9,400,87985.00
9,400,87987.00
9,400,87950.00
9,400,87935.00
9,400,87941.00
9,400,87982.00
9,400,87973.00
9,400,87971.00
9,400,87970.00
9,400,87939.00
9,400,87931.00
9,400,87944.00
9,400,87938.00
9,400,87924.00
9,400,87935.00
9,400,87931.00
10,450,98967.00
10,450,98956.00
10,450,98967.00
10,450,98991.00
10,450,98989.00
10,450,98969.00
10,450,98934.00
10,450,98903.00
10,450,98931.00
10,450,98943.00
10,450,98949.00
10,450,98927.00
10,450,98955.00
10,450,98997.00
10,450,98964.00
10,450,98955.00
10,450,98955.00
10,450,98911.00
10,450,98971.00
10,450,98979.00
10,450,98922.00
10,450,98900.00
10,450,98908.00
10,450,98918.00
10,450,98930.00
10,450,98914.00
10,450,98962.00
10,450,98954.00
10,450,98944.00
10,450,98946.00
10,450,98927.00
10,450,98937.00
10,450,98955.00
10,450,98936.00
10,450,98939.00
10,450,98940.00
10,450,98959.00
10,450,98967.00
10,450,98956.00
10,450,98955.00
10,450,98942.00
10,450,98935.00
10,450,98912.00
10,450,98938.00
10,450,98976.00
10,450,98968.00
10,450,98949.00
10,450,98970.00
10,450,98987.00
10,450,98961.00
10,450,98953.00
10,450,98967.00
10,450,98935.00
10,450,98936.00
10,450,98959.00
10,450,98947.00
10,450,98954.00
10,450,98963.00
10,450,98948.00
10,450,98916.00
10,450,98932.00
10,450,98963.00
10,450,98950.00
10,450,98939.00
10,450,98935.00
10,450,98957.00
10,450,98980.00
10,450,98957.00
10,450,98960.00
10,450,98987.00
10,450,99003.00
10,450,99000.00
10,450,98979.00
10,450,98946.00
10,450,98962.00
10,450,98999.00
10,450,98978.00
10,450,98970.00
10,450,98975.00
10,450,98917.00
10,450,98948.00
10,450,98971.00
10,450,98960.00
10,450,98959.00
10,450,98959.00
10,450,98966.00
10,450,98984.00
10,450,98987.00
10,450,98929.00
10,450,98931.00
10,450,98941.00
10,450,98955.00
10,450,98943.00
10,450,98948.00
10,450,98982.00
10,450,98975.00
10,450,98930.00
10,450,98927.00
10,450,98925.00
10,450,98896.00
10,450,98897.00
10,450,98951.00
10,450,98965.00
10,450,98945.00
10,450,98964.00
10,450,98981.00
10,450,98958.00
10,450,98933.00
10,450,98906.00
10,450,98899.00
10,450,98915.00
10,450,98945.00
10,450,98995.00
10,450,99000.00
11,500,110266.00
11,500,110287.00
11,500,110294.00
11,500,110235.00
11,500,110233.00
11,500,110261.00
11,500,110254.00
11,500,110246.00
11,500,110304.00
11,500,110251.00
11,500,110242.00
11,500,110242.00
11,500,110217.00
11,500,110246.00
11,500,110292.00
11,500,110275.00
11,500,110282.00
11,500,110306.00
11,500,110311.00
11,500,110276.00
11,500,110257.00
11,500,110254.00
11,500,110290.00
11,500,110334.00
11,500,110336.00
11,500,110321.00
11,500,110319.00
11,500,110272.00
11,500,110287.00
11,500,110277.00
11,500,110287.00
11,500,110276.00
11,500,110308.00
11,500,110324.00
11,500,110296.00
11,500,110263.00
11,500,110301.00
11,500,110302.00
11,500,110287.00
11,500,110250.00
11,500,110247.00
11,500,110265.00
11,500,110266.00
11,500,110326.00
11,500,110331.00
11,500,110315.00
11,500,110289.00
11,500,110311.00
11,500,110275.00
11,500,110278.00
11,500,110324.00
11,500,110321.00
11,500,110283.00
11,500,110291.00
11,500,110287.00
11,500,110319.00
11,500,110303.00
11,500,110313.00
11,500,110279.00
11,500,110276.00
11,500,110270.00
11,500,110294.00
11,500,110307.00
11,500,110281.00
11,500,110280.00
11,500,110301.00
11,500,110305.00
11,500,110308.00
11,500,110311.00
11,500,110280.00
11,500,110303.00
11,500,110335.00
11,500,110274.00
11,500,110263.00
11,500,110294.00
11,500,110302.00
11,500,110311.00
11,500,110312.00
11,500,110303.00
11,500,110376.00
11,500,110383.00
11,500,110331.00
11,500,110287.00
11,500,110295.00
11,500,110312.00
11,500,110346.00
11,500,110376.00
11,500,110338.00
11,500,110355.00
11,500,110312.00
11,500,110276.00
11,500,110314.00
11,500,110304.00
11,500,110310.00
11,500,110300.00
11,500,110326.00
11,500,110334.00
11,500,110288.00
11,500,110316.00
11,500,110343.00
11,500,110343.00
11,500,110300.00
11,500,110291.00
11,500,110298.00
11,500,110300.00
11,500,110335.00
11,500,110351.00
11,500,110303.00
11,500,110293.00
11,500,110308.00
11,500,110287.00
11,500,110311.00
11,500,110291.00
11,500,110281.00
12,550,120786.00
12,550,120753.00
12,550,120729.00
12,550,120676.00
12,550,120698.00
12,550,120736.00
12,550,120718.00
12,550,120719.00
12,550,120752.00
12,550,120735.00
12,550,120712.00
12,550,120724.00
12,550,120712.00
12,550,120722.00
12,550,120729.00
12,550,120748.00
12,550,120741.00
12,550,120731.00
12,550,120732.00
12,550,120720.00
12,550,120712.00
12,550,120681.00
12,550,120695.00
12,550,120724.00
12,550,120671.00
12,550,120694.00
12,550,120709.00
12,550,120724.00
12,550,120748.00
12,550,120714.00
12,550,120687.00
12,550,120708.00
12,550,120740.00
12,550,120728.00
12,550,120705.00
12,550,120744.00
12,550,120718.00
12,550,120705.00
12,550,120709.00
12,550,120700.00
12,550,120707.00
12,550,120716.00
12,550,120764.00
12,550,120760.00
12,550,120707.00
12,550,120723.00
12,550,120744.00
12,550,120696.00
12,550,120700.00
12,550,120735.00
12,550,120707.00
12,550,120702.00
12,550,120706.00
12,550,120700.00
12,550,120721.00
12,550,120761.00
12,550,120737.00
12,550,120733.00
12,550,120743.00
12,550,120781.00
12,550,120793.00
12,550,120735.00
12,550,120728.00
12,550,120748.00
12,550,120729.00
12,550,120674.00
12,550,120681.00
12,550,120704.00
12,550,120732.00
12,550,120685.00
12,550,120675.00
12,550,120692.00
12,550,120688.00
12,550,120708.00
12,550,120710.00
12,550,120713.00
12,550,120728.00
12,550,120715.00
12,550,120725.00
12,550,120725.00
12,550,120709.00
12,550,120727.00
12,550,120749.00
12,550,120714.00
12,550,120688.00
12,550,120677.00
12,550,120713.00
12,550,120663.00
12,550,120651.00
12,550,120687.00
12,550,120709.00
12,550,120728.00
12,550,120755.00
12,550,120723.00
12,550,120661.00
12,550,120656.00
12,550,120673.00
12,550,120723.00
12,550,120765.00
12,550,120768.00
12,550,120747.00
12,550,120728.00
12,550,120748.00
12,550,120743.00
12,550,120752.00
12,550,120677.00
12,550,120686.00
12,550,120700.00
12,550,120721.00
12,550,120774.00
12,550,120748.00
12,550,120695.00
12,550,120668.00
12,550,120711.00
13,600,131662.00
13,600,131675.00
13,600,131679.00
13,600,131681.00
13,600,131693.00
13,600,131682.00
13,600,131682.00
13,600,131684.00
13,600,131653.00
13,600,131664.00
13,600,131684.00
13,600,131679.00
13,600,131678.00
13,600,131670.00
13,600,131673.00
13,600,131669.00
13,600,131648.00
13,600,131675.00
13,600,131665.00
13,600,131708.00
13,600,131703.00
13,600,131670.00
13,600,131670.00
13,600,131675.00
13,600,131684.00
13,600,131684.00
13,600,131660.00
13,600,131625.00
13,600,131676.00
13,600,131692.00
13,600,131691.00
13,600,131670.00
13,600,131661.00
13,600,131654.00
13,600,131638.00
13,600,131664.00
13,600,131686.00
13,600,131686.00
13,600,131706.00
13,600,131720.00
13,600,131694.00
13,600,131681.00
13,600,131685.00
13,600,131702.00
13,600,131677.00
13,600,131654.00
13,600,131613.00
13,600,131633.00
13,600,131702.00
13,600,131721.00
13,600,131694.00
13,600,131680.00
13,600,131675.00
13,600,131678.00
13,600,131685.00
13,600,131689.00
13,600,131666.00
13,600,131632.00
13,600,131665.00
13,600,131658.00
13,600,131654.00
13,600,131692.00
13,600,131721.00
13,600,131675.00
13,600,131684.00
13,600,131723.00
13,600,131760.00
13,600,131756.00
